t,x,y,z,intensity
231,12409.0615234375,14130.9482421875,-381.215209960938,1058.05456542969
232,12640.41796875,14284.484375,-347.237426757812,858.428588867188
235,12578.8818359375,13921.7724609375,-578.910278320312,1672.80786132812
237,12704.1494140625,13804.1845703125,-733.210205078125,2687.01708984375
240,12566.619140625,14103.1923828125,-342.634521484375,1055.23303222656
242,12526.701171875,14452.49609375,919.103393554688,1811.30834960938
245,12520.703125,14231.0400390625,-572.389526367188,1833.81555175781
245,12464.201171875,14029.0625,-365.7119140625,1080.7431640625
246,12438.4716796875,14192.3916015625,-314.6953125,1137.03820800781
247,12417.2177734375,14257.9580078125,82.1106567382812,495.766784667969
248,12360.7021484375,14079.7744140625,-599.723876953125,1739.00451660156
249,12683.2763671875,14079.3662109375,-114.291015625,731.304626464844
250,12459.193359375,13977.2958984375,-592.56591796875,2118.35668945312
251,12560.6923828125,14113.32421875,-447.996337890625,1367.33251953125
253,12524.7646484375,14079.0322265625,-522.84765625,1155.78784179688
255,12418.5341796875,14366.57421875,-241.8701171875,717.955322265625
257,12507.5888671875,14336.412109375,-224.256225585938,655.0966796875
259,12434.21484375,14183.6796875,-375.7080078125,859.928588867188
260,12597.2900390625,14147.9384765625,-241.158813476562,776.556335449219
263,12428.005859375,14242.892578125,-294.114868164062,954.670043945312
264,12650.6005859375,14116.662109375,-411.949951171875,934.975402832031
265,12498.28125,14104.2958984375,-293.975341796875,597.587829589844
266,12589.546875,14199.4140625,-372.895141601562,1048.14636230469
267,12556.458984375,14262.03515625,116.351806640625,639.546813964844
268,12605.455078125,14228.916015625,-385.5380859375,911.717407226562
269,12270.736328125,14227.1171875,-73.2415771484375,612.738830566406
269,12273.2431640625,13594.369140625,-575.644165039062,1228.40026855469
271,12611.046875,14145.6201171875,-194.497436523438,803.216064453125
272,12485.56640625,14332.716796875,-279.059326171875,780.630493164062
274,12511.3203125,14122.7578125,-433.1865234375,1040.71960449219
275,12568.8662109375,14299.712890625,-84.4556884765625,662.428283691406
277,12551.1796875,14135.7109375,-443.955474853516,1393.66442871094
278,12738.896484375,14346.521484375,909.575500488281,1892.38647460938
279,12623.8466796875,14308.146484375,-244.208251953125,846.536010742188
279,12623.548828125,14292.505859375,-242.394409179688,876.648742675781
280,12508.529296875,14129.689453125,-325.461547851562,953.748046875
281,12582.7685546875,13733.3115234375,-494.253814697266,1080.13134765625
281,12609.716796875,14204.994140625,-369.64208984375,1521.70446777344
282,12471.103515625,14053.18359375,-371.766479492188,1096.53637695312
286,12699.0439453125,14295.005859375,-302.092895507812,815.076782226562
287,12671.70703125,14280.158203125,-396.83837890625,1167.72814941406
288,12579.884765625,7549.6083984375,739.570922851562,1008.0048828125
288,12520.3212890625,14385.4775390625,-74.69775390625,527.190307617188
289,12670.71484375,14184.5029296875,-320.301635742188,892.130310058594
290,12503,13986.001953125,-526.062744140625,2038.6943359375
292,12437.8701171875,14214.5400390625,-405.66162109375,1032.57287597656
293,12456.482421875,14110.400390625,-300.204711914062,1036.05773925781
295,12644.28515625,14491.404296875,-171.796997070312,699.966552734375
296,12392.640625,14319.08984375,-407.085083007812,906.558715820312
297,12527.140625,14292.390625,-379.88916015625,913.736999511719
298,12581.0537109375,14255.4697265625,-274.259765625,768.805847167969
299,12512.5546875,14150.658203125,-374.646728515625,983.058959960938
304,12724.1591796875,14443.9052734375,869.574035644531,1869.90710449219
306,12484.32421875,14145.212890625,-159.140014648438,647.797485351562
306,12503.46484375,14172.4375,-228.307006835938,834.665466308594
308,12388.376953125,13679.9599609375,-604.507568359375,1998.86730957031
309,12376.763671875,14171.1865234375,-363.077758789062,1082.57275390625
309,12369.078125,14213.841796875,-259.925903320312,807.173706054688
311,12441.21875,14189.431640625,-270.241821289062,858.895385742188
312,12368.09765625,14122.865234375,-449.848236083984,1096.92883300781
313,12638.8486328125,14431.1728515625,985.503723144531,2427.87817382812
314,11522.896484375,12874.3017578125,-278.028564453125,1176.880859375
314,11525.3798828125,12885.47265625,-278.857543945312,1148.81689453125
314,12298.5791015625,14183.837890625,-168.070922851562,472.620697021484
315,12765.6591796875,10703.71875,6.69891357421875,473.287750244141
317,12464.4443359375,14166.1640625,-244.62158203125,650.764831542969
320,12479.3515625,14160.935546875,8.07977294921875,612.925720214844
321,12571.7236328125,8392.0224609375,-204.659545898438,523.130187988281
322,12435.8359375,14268.107421875,-292.777709960938,820.631225585938
324,12536.58203125,14258.9921875,-459.576751708984,827.178161621094
331,12307.7197265625,14215.13671875,-87.2049560546875,635.240661621094
331,12290.6826171875,13469.609375,-516.708740234375,947.231018066406
333,12123.97265625,13091.4697265625,-271.922973632812,864.158203125
333,12410.908203125,14085.91796875,-482.007568359375,1080.93420410156
334,12593.7255859375,14240.42578125,-256.9482421875,688.393493652344
336,12347.9404296875,13511.4794921875,-443.232177734375,856.611450195312
336,12508.283203125,14173.9072265625,-394.819702148438,736.343505859375
337,12548.849609375,14006.8994140625,-379.567504882812,915.559326171875
339,12375.0927734375,13281.03515625,-438.641845703125,724.285522460938
339,12425.65625,14072.916015625,-469.799896240234,1024.42041015625
340,12319.93359375,13372.896484375,-502.201904296875,932.965026855469
340,12349.1298828125,14124.5654296875,-55.48974609375,586.982421875
340,15140.1171875,14921.330078125,83.2935180664062,1196.02563476562
341,12553.025390625,8369.1982421875,-13.4571533203125,436.653289794922
341,12434.9501953125,14004.00390625,-248.636840820312,543.695007324219
341,15055.6982421875,14931.84765625,-493.367767333984,1285.69055175781
341,15028.5751953125,15005.392578125,-512.723876953125,1319.17309570312
343,12359.029296875,13476.2412109375,-511.572357177734,1010.76629638672
344,12235.2255859375,13393.7802734375,-528.685424804688,1241.51245117188
344,14688.30078125,15945.958984375,-479.043060302734,991.785766601562
345,12233.8720703125,13478.884765625,-589.097045898438,1184.09533691406
345,14901.587890625,15427.6748046875,-294.734008789062,859.029541015625
346,14770.9951171875,15163.62109375,-26.933349609375,915.95068359375
347,12503.853515625,14153.029296875,-174.859985351562,599.854553222656
349,12319.0390625,14014.75390625,-309.762329101562,581.936706542969
352,12486.5,14325.484375,-235.272094726562,587.984924316406
353,12299.341796875,13399.6396484375,-387.342041015625,815.731811523438
354,12435.927734375,13912.9990234375,-397.647094726562,1397.94812011719
356,12576.869140625,14518.61328125,12.5830078125,614.712829589844
359,12499.6728515625,14188.25390625,-232.382446289062,714.898254394531
359,12762.345703125,8558.958984375,7.09429931640625,575.514404296875
363,12035.2578125,12112.87109375,-104.119140625,391.819000244141
364,12454.5361328125,13850.6953125,-444.848541259766,1114.46228027344
364,12426.2001953125,13820.9326171875,-364.76123046875,931.880798339844
367,12465.6240234375,14233.671875,-419.842041015625,715.00634765625
372,12253.884765625,14275.30078125,-264.361938476562,562.181030273438
